Date_Time,UNIT_NAME,LOAD_CATAGORY,LOAD_ID,LOAD_TRAFFX100,LOAD_CS_AMOUNT
12.25.2007 03:00:00,UNIT03LOC1,PS TECH1INIT INIT,109,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS TECH2-TECH1,110,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS TECH2-TECH2,111,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS TECH2INIT INIT,112,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS CSS,17,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS INC-TECH1ARRIVE,113,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS INC-TECH2ARRIVE,114,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS PASSING,105,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS INT TECH1-TECH1,107,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS INT TECH1-TECH2,108,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS INIT TECH1,101,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS INIT TECH2,103,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS INIT,106,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS ARRIVE TECH1,102,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS ARRIVE TECH2,104,0,0
12.25.2007 03:00:00,UNIT03LOC1,PS PASSING,115,0,0
12.25.2007 03:00:00,UNIT03LOC1,DEVICE INIT,16,35,117
12.25.2007 03:00:00,UNIT03LOC1,E CATEGORY,160,0,0
12.25.2007 03:00:00,UNIT03LOC1,IMSC HO INC,13,85,47
12.25.2007 03:00:00,UNIT03LOC1,IMSC HO INIT,14,180,52
12.25.2007 03:00:00,UNIT03LOC1,INC TECH1 ARRIVE,42,1790,554
12.25.2007 03:00:00,UNIT03LOC1,INC TECH2 ARRIVE,43,0,0
12.25.2007 03:00:00,UNIT03LOC1,INC SCP,53,0,0
12.25.2007 03:00:00,UNIT03LOC1,INC INIT,44,305,226
12.25.2007 03:00:00,UNIT03LOC1,INC VIDEO,49,0,0
12.25.2007 03:00:00,UNIT03LOC1,INCNOHO,45,2345,998
